rcv   22.937     A    101   0    3351
snd   22.937     D    3451  50   101
drop  22.937     D    3501  50   101
rcv   22.937     A    101   0    3401
snd   22.937     D    3551  50   101
snd   22.937     D    3601  50   101
rcv   22.937     A    101   0    3451
snd   22.937     D    3651  50   101
rcv   22.937     A    101   0    3501
snd   22.937     D    3701  50   101
snd   22.937     D    3751  50   101
rcv   22.937     A    101   0    3501
rcv   22.937     A    101   0    3501
rcv   22.937     A    101   0    3501
rcv   22.937     A    101   0    3501
rcv   22.937     A    101   0    3501
snd   22.937     D    3801  50   101
snd   22.937     D    3501  50   101
snd   23.936     D    3501  50   101
snd   23.936     D    3501  50   101
snd   23.936     D    3851  50   101
rcv   23.936     A    101   0    3501
rcv   23.936     A    101   0    3851
snd   23.936     D    3501  50   101
snd   23.936     D    3501  50   101
rcv   23.936     A    101   0    3851
rcv   23.936     A    101   0    3851
rcv   23.936     A    101   0    3901
rcv   23.936     A    101   0    3901
snd   23.936     D    3901  50   101
rcv   23.936     A    101   0    3901
snd   23.936     D    3851  50   101
snd   23.936     D    3951  50   101
rcv   23.936     A    101   0    3951
snd   23.936     D    4001  50   101
snd   23.936     D    4051  50   101
rcv   23.936     A    101   0    3951
rcv   23.936     A    101   0    4001
snd   23.936     D    4101  50   101
snd   23.936     D    4151  50   101
rcv   23.936     A    101   0    4051
snd   23.936     D    4201  50   101
snd   24.933     D    4251  50   101
rcv   24.933     A    101   0    4101
snd   24.933     D    4301  50   101
snd   24.933     D    4351  50   101
snd   24.933     D    4401  50   101
rcv   24.933     A    101   0    4151
snd   24.933     D    4451  50   101
rcv   24.933     A    101   0    4201
snd   24.933     D    4501  50   101
drop  24.933     D    4551  50   101
rcv   24.933     A    101   0    4251
snd   24.933     D    4601  50   101
snd   24.933     D    4651  50   101
rcv   24.933     A    101   0    4301
snd   24.933     D    4701  50   101
drop  24.933     D    4751  50   101
rcv   25.93      A    101   0    4351
snd   25.93      D    4801  50   101
rcv   25.93      A    101   0    4401
snd   25.93      D    4851  50   101
rcv   25.93      A    101   0    4451
snd   25.93      D    4901  50   101
rcv   25.93      A    101   0    4501
snd   25.93      D    4951  50   101
rcv   25.93      A    101   0    4551
snd   25.93      D    5001  50   101
rcv   26.928     A    101   0    4551
rcv   26.928     A    101   0    4551
rcv   26.928     A    101   0    4551
rcv   26.928     A    101   0    4551
rcv   26.928     A    101   0    4551
rcv   26.928     A    101   0    4551
rcv   26.928     A    101   0    4551
rcv   26.928     A    101   0    4551
snd   26.928     D    4551  50   101
snd   26.928     D    4551  50   101
snd   26.928     D    4551  50   101
rcv   26.928     A    101   0    4751
snd   26.928     D    4551  50   101
snd   26.928     D    4551  50   101
rcv   26.928     A    101   0    4751
rcv   26.928     A    101   0    4751
rcv   26.928     A    101   0    4751
rcv   26.928     A    101   0    4751
snd   26.928     D    4551  50   101
rcv   26.928     A    101   0    4751
snd   26.928     D    4751  50   101
snd   26.928     D    4751  50   101
snd   26.928     D    4751  50   101
drop  26.928     D    4751  50   101
rcv   26.928     A    101   0    5051
snd   26.928     D    4551  50   101
rcv   26.928     A    101   0    5051
rcv   26.928     A    101   0    5051
snd   26.928     D    5051  50   101
drop  26.928     D    5101  50   101
rcv   26.928     A    101   0    5051
snd   26.928     D    5151  50   101
snd   27.925     D    5201  50   101
rcv   27.925     A    101   0    5101
snd   27.925     D    5251  50   101
snd   27.925     D    5301  50   101
drop  27.925     D    5351  50   101
rcv   27.925     A    101   0    5101
rcv   27.925     A    101   0    5101
rcv   27.925     A    101   0    5101
snd   27.925     D    5101  50   101
snd   27.925     D    5101  50   101
snd   27.925     D    5401  50   101
snd   27.925     D    5451  50   101
snd   27.925     D    5501  50   101
snd   27.925     D    5551  50   101
rcv   35.902     A    101   0    5101
rcv   35.902     A    101   0    5351
snd   35.902     D    5101  50   101
rcv   35.902     A    101   0    5351
snd   35.902     D    5601  50   101
rcv   35.902     A    101   0    5351
rcv   35.902     A    101   0    5351
snd   35.902     D    5351  50   101
rcv   36.901     A    101   0    5351
rcv   36.901     A    101   0    5351
rcv   36.901     A    101   0    5351
rcv   36.901     A    101   0    5351
drop  36.901     D    5351  50   101
rcv   36.901     A    101   0    5651
drop  36.901     D    5351  50   101
snd   36.901     D    5351  50   101
snd   36.901     D    5351  50   101
snd   36.901     D    5351  50   101
rcv   36.901     A    101   0    5651
snd   36.901     D    5651  50   101
snd   36.901     D    5701  50   101
rcv   36.901     A    101   0    5651
snd   36.901     D    5751  50   101
snd   36.901     D    5801  50   101
rcv   36.901     A    101   0    5651
rcv   36.901     A    101   0    5701
snd   36.901     D    5851  50   101
rcv   36.901     A    101   0    5751
snd   36.901     D    5901  50   101
rcv   37.899     A    101   0    5801
snd   37.899     D    5951  50   101
drop  37.899     D    6001  50   101
snd   37.899     D    6051  50   101
rcv   37.899     A    101   0    5851
snd   37.899     D    6101  50   101
rcv   37.899     A    101   0    5901
snd   37.899     D    6151  50   101
snd   37.899     D    6201  50   101
rcv   37.899     A    101   0    5951
snd   37.899     D    6251  50   101
drop  37.899     D    6301  50   101
rcv   38.895     A    101   0    6001
snd   38.895     D    6351  50   101
rcv   38.895     A    101   0    6001
rcv   38.895     A    101   0    6001
rcv   38.895     A    101   0    6001
rcv   38.895     A    101   0    6001
rcv   38.895     A    101   0    6001
rcv   38.895     A    101   0    6001
rcv   38.895     A    101   0    6001
snd   38.895     D    6401  50   101
snd   38.895     D    6001  50   101
snd   38.895     D    6001  50   101
snd   38.895     D    6001  50   101
snd   38.895     D    6001  50   101
snd   38.895     D    6001  50   101
rcv   38.895     A    101   0    6301
drop  38.895     D    6001  50   101
snd   38.895     D    6451  50   101
rcv   38.895     A    101   0    6301
rcv   38.895     A    101   0    6301
rcv   38.895     A    101   0    6301
rcv   38.895     A    101   0    6301
snd   38.895     D    6501  50   101
rcv   38.895     A    101   0    6301
snd   38.895     D    6301  50   101
snd   38.895     D    6301  50   101
rcv   38.895     A    101   0    6301
snd   38.895     D    6301  50   101
rcv   38.895     A    101   0    6551
snd   39.892     D    6301  50   101
rcv   39.892     A    101   0    6551
snd   39.892     D    6301  50   101
rcv   39.892     A    101   0    6551
snd   39.892     D    6551  50   101
rcv   39.892     A    101   0    6551
snd   39.892     D    6601  50   101
snd   39.892     D    6651  50   101
snd   39.892     D    6701  50   101
snd   39.892     D    6751  50   101
snd   39.892     D    6801  50   101
snd   39.892     D    6851  50   101
snd   39.892     D    6901  50   101
rcv   39.892     A    101   0    6551
snd   39.892     D    6951  50   101
rcv   39.892     A    101   0    6601
snd   39.892     D    7001  50   101
rcv   39.892     A    101   0    6651
snd   40.89      D    7051  50   101
snd   40.89      D    7101  50   101
rcv   40.89      A    101   0    6701
snd   40.89      D    7151  50   101
rcv   40.89      A    101   0    6751
snd   40.89      D    7201  50   101
rcv   40.89      A    101   0    6801
snd   40.89      D    7251  50   101
rcv   40.89      A    101   0    6851
snd   41.887     D    7301  50   101
rcv   41.887     A    101   0    6901
snd   41.887     D    7351  50   101
rcv   41.887     A    101   0    6951
drop  41.887     D    7401  50   101
rcv   41.887     A    101   0    7001
snd   41.887     D    7451  50   101
rcv   41.887     A    101   0    7051
snd   41.887     D    7501  50   101
rcv   42.884     A    101   0    7101
snd   42.884     D    7551  50   101
rcv   42.884     A    101   0    7151
snd   42.884     D    7601  50   101
rcv   42.884     A    101   0    7201
snd   42.884     D    7651  50   101
rcv   42.884     A    101   0    7251
snd   42.884     D    7701  50   101
rcv   42.884     A    101   0    7301
snd   43.882     D    7751  50   101
rcv   43.882     A    101   0    7351
rcv   43.882     A    101   0    7401
snd   43.882     D    7801  50   101
rcv   43.882     A    101   0    7401
rcv   43.882     A    101   0    7401
rcv   43.882     A    101   0    7401
rcv   43.882     A    101   0    7401
rcv   43.882     A    101   0    7401
rcv   43.882     A    101   0    7401
rcv   43.882     A    101   0    7401
rcv   43.882     A    101   0    7401
rcv   43.882     A    101   0    7401
snd   43.882     D    7851  50   101
snd   43.882     D    7401  50   101
snd   43.882     D    7401  50   101
snd   43.882     D    7401  50   101
snd   43.882     D    7401  50   101
rcv   43.882     A    101   0    7901
snd   43.882     D    7401  50   101
rcv   43.882     A    101   0    7901
rcv   43.882     A    101   0    7901
snd   43.882     D    7401  50   101
rcv   43.882     A    101   0    7901
snd   43.882     D    7401  50   101
snd   43.882     D    7401  50   101
snd   43.882     D    7901  50   101
rcv   44.879     A    101   0    7901
snd   44.879     D    7951  50   101
rcv   44.879     A    101   0    7901
snd   44.879     D    8001  50   101
rcv   44.879     A    101   0    7901
rcv   44.879     A    101   0    7901
rcv   44.879     A    101   0    7951
snd   44.879     D    7901  50   101
snd   44.879     D    7901  50   101
drop  44.879     D    8051  50   101
rcv   44.879     A    101   0    8001
snd   44.879     D    8101  50   101
snd   44.879     D    8151  50   101
rcv   44.879     A    101   0    8051
snd   44.879     D    8201  50   101
snd   45.877     D    8251  50   101
rcv   45.877     A    101   0    8051
snd   45.877     D    8301  50   101
rcv   45.877     A    101   0    8051
rcv   45.877     A    101   0    8051
rcv   45.877     A    101   0    8051
rcv   45.877     A    101   0    8051
rcv   45.877     A    101   0    8051
rcv   45.877     A    101   0    8051
rcv   45.877     A    101   0    8051
snd   45.877     D    8351  50   101
snd   45.877     D    8051  50   101
snd   45.877     D    8051  50   101
snd   45.877     D    8051  50   101
snd   45.877     D    8051  50   101
rcv   45.877     A    101   0    8401
rcv   45.877     A    101   0    8401
rcv   45.877     A    101   0    8401
snd   45.877     D    8051  50   101
drop  45.877     D    8051  50   101
snd   45.877     D    8051  50   101
snd   45.877     D    8401  50   101
snd   45.877     D    8451  50   101
snd   45.877     D    8501  50   101
snd   45.877     D    8551  50   101
snd   45.877     D    8601  50   101
snd   45.877     D    8651  50   101
snd   45.877     D    8701  50   101
snd   45.877     D    8751  50   101
snd   45.877     D    8801  50   101
rcv   51.861     A    101   0    8401
snd   51.861     D    8851  50   101
rcv   51.861     A    101   0    8401
rcv   51.861     A    101   0    8401
rcv   51.861     A    101   0    8451
snd   51.861     D    8401  50   101
rcv   52.858     A    101   0    8501
snd   52.858     D    8901  50   101
rcv   52.858     A    101   0    8551
snd   52.858     D    8951  50   101
rcv   52.858     A    101   0    8601
snd   52.858     D    9001  50   101
drop  52.858     D    9051  50   101
rcv   52.858     A    101   0    8651
snd   53.857     D    9101  50   101
rcv   53.857     A    101   0    8701
drop  53.857     D    9151  50   101
rcv   53.857     A    101   0    8751
rcv   53.857     A    101   0    8801
rcv   54.852     A    101   0    8851
snd   54.852     D    9201  50   101
rcv   54.852     A    101   0    8901
snd   54.852     D    9251  50   101
snd   54.852     D    9301  50   101
rcv   54.852     A    101   0    8901
rcv   54.852     A    101   0    8951
snd   54.852     D    9351  50   101
snd   54.852     D    9401  50   101
rcv   54.852     A    101   0    9001
snd   54.852     D    9451  50   101
rcv   55.851     A    101   0    9051
snd   55.851     D    9501  50   101
rcv   55.851     A    101   0    9051
rcv   55.851     A    101   0    9051
rcv   55.851     A    101   0    9051
rcv   55.851     A    101   0    9051
rcv   55.851     A    101   0    9051
rcv   55.851     A    101   0    9051
rcv   55.851     A    101   0    9051
rcv   55.851     A    101   0    9051
snd   55.851     D    9051  50   101
snd   55.851     D    9051  50   101
drop  55.851     D    9051  50   101
snd   55.851     D    9051  50   101
rcv   55.851     A    101   0    9151
snd   56.849     D    9051  50   101
rcv   56.849     A    101   0    9151
rcv   56.849     A    101   0    9151
rcv   56.849     A    101   0    9151
snd   56.849     D    9151  50   101
snd   56.849     D    9151  50   101
snd   56.849     D    9051  50   101
rcv   56.849     A    101   0    9551
snd   56.849     D    9051  50   101
rcv   56.849     A    101   0    9551
rcv   56.849     A    101   0    9551
snd   56.849     D    9551  50   101
rcv   56.849     A    101   0    9551
snd   56.849     D    9601  50   101
snd   56.849     D    9651  50   101
rcv   56.849     A    101   0    9601
snd   56.849     D    9701  50   101
rcv   56.849     A    101   0    9651
snd   56.849     D    9751  50   101
rcv   56.849     A    101   0    9701
snd   56.849     D    9801  50   101
snd   57.846     D    9851  50   101
rcv   57.846     A    101   0    9751
snd   57.846     D    9901  50   101
rcv   57.846     A    101   0    9801
snd   57.846     D    9951  50   101
rcv   57.846     A    101   0    9851
snd   57.846     D    10001 50   101
snd   57.846     D    10051 50   101
rcv   57.846     A    101   0    9901
snd   57.846     D    10101 50   101
rcv   57.846     A    101   0    9951
snd   57.846     D    10151 50   101
snd   57.846     D    10201 50   101
rcv   58.843     A    101   0    10001
snd   58.843     D    10251 50   101
rcv   58.843     A    101   0    10051
snd   58.843     D    10301 50   101
drop  58.843     D    10351 50   101
snd   58.843     D    10401 50   101
rcv   58.843     A    101   0    10101
snd   58.843     D    10451 50   101
rcv   58.843     A    101   0    10151
snd   58.843     D    10501 50   101
snd   58.843     D    10551 50   101
rcv   59.84      A    101   0    10201
snd   59.84      D    10601 50   101
rcv   59.84      A    101   0    10251
snd   59.84      D    10651 50   101
snd   59.84      D    10701 50   101
rcv   59.84      A    101   0    10301
snd   59.84      D    10751 50   101
rcv   59.84      A    101   0    10351
snd   60.838     D    10801 50   101
rcv   60.838     A    101   0    10351
rcv   60.838     A    101   0    10351
rcv   60.838     A    101   0    10351
rcv   60.838     A    101   0    10351
rcv   60.838     A    101   0    10351
rcv   60.838     A    101   0    10351
rcv   60.838     A    101   0    10351
rcv   60.838     A    101   0    10351
rcv   60.838     A    101   0    10351
snd   60.838     D    10351 50   101
snd   60.838     D    10351 50   101
snd   60.838     D    10351 50   101
snd   60.838     D    10351 50   101
rcv   60.838     A    101   0    10851
snd   60.838     D    10351 50   101
rcv   60.838     A    101   0    10851
drop  60.838     D    10351 50   101
snd   60.838     D    10351 50   101
rcv   60.838     A    101   0    10851
snd   60.838     D    10351 50   101
rcv   60.838     A    101   0    10851
snd   60.838     D    10851 50   101
rcv   60.838     A    101   0    10851
snd   60.838     D    10901 50   101
snd   61.835     D    10951 50   101
rcv   61.835     A    101   0    10851
rcv   61.835     A    101   0    10851
rcv   61.835     A    101   0    10901
snd   61.835     D    11001 50   101
drop  61.835     D    10851 50   101
snd   61.835     D    11051 50   101
rcv   61.835     A    101   0    10951
drop  61.835     D    11101 50   101
snd   61.835     D    11151 50   101
snd   61.835     D    11201 50   101
rcv   61.835     A    101   0    11001
snd   61.835     D    11251 50   101
rcv   61.835     A    101   0    11051
snd   62.831     D    11301 50   101
snd   62.831     D    11351 50   101
drop  62.831     D    11401 50   101
rcv   62.831     A    101   0    11101
snd   62.831     D    11451 50   101
rcv   62.831     A    101   0    11101
rcv   62.831     A    101   0    11101
rcv   62.831     A    101   0    11101
rcv   62.831     A    101   0    11101
rcv   62.831     A    101   0    11101
rcv   62.831     A    101   0    11101
snd   62.831     D    11101 50   101
snd   62.831     D    11101 50   101
snd   62.831     D    11101 50   101
snd   62.831     D    11101 50   101
rcv   62.831     A    101   0    11401
snd   62.831     D    11101 50   101
snd   62.831     D    11501 50   101
rcv   62.831     A    101   0    11401
rcv   62.831     A    101   0    11401
rcv   62.831     A    101   0    11401
rcv   62.831     A    101   0    11401
rcv   62.831     A    101   0    11401
rcv   62.831     A    101   0    11401
snd   62.831     D    11551 50   101
snd   62.831     D    11401 50   101
snd   62.831     D    11401 50   101
snd   62.831     D    11401 50   101
rcv   62.831     A    101   0    11601
snd   62.831     D    11401 50   101
rcv   63.829     A    101   0    11601
snd   63.829     D    11401 50   101
snd   63.829     D    11601 50   101
rcv   63.829     A    101   0    11601
snd   63.829     D    11651 50   101
snd   63.829     D    11701 50   101
snd   63.829     D    11751 50   101
rcv   63.829     A    101   0    11601
snd   63.829     D    11801 50   101
snd   63.829     D    11851 50   101
snd   63.829     D    11901 50   101
snd   63.829     D    11951 50   101
snd   63.829     D    12001 50   101
snd   63.829     D    12051 50   101
rcv   67.819     A    101   0    11601
snd   67.819     D    11601 50   101
rcv   67.819     A    101   0    11651
drop  67.819     D    12101 50   101
rcv   67.819     A    101   0    11701
snd   68.816     D    12151 50   101
rcv   68.816     A    101   0    11751
snd   68.816     D    12201 50   101
rcv   68.816     A    101   0    11801
snd   68.816     D    12251 50   101
rcv   68.816     A    101   0    11851
snd   69.813     D    12301 50   101
rcv   69.813     A    101   0    11901
snd   69.813     D    12351 50   101
rcv   69.813     A    101   0    11951
snd   69.813     D    12401 50   101
rcv   69.813     A    101   0    12001
snd   69.813     D    12451 50   101
rcv   69.813     A    101   0    12051
snd   69.813     D    12501 50   101
rcv   69.813     A    101   0    12101
snd   69.813     D    12551 50   101
rcv   70.81      A    101   0    12101
rcv   70.81      A    101   0    12101
rcv   70.81      A    101   0    12101
rcv   70.81      A    101   0    12101
rcv   70.81      A    101   0    12101
rcv   70.81      A    101   0    12101
rcv   70.81      A    101   0    12101
rcv   70.81      A    101   0    12101
rcv   70.81      A    101   0    12101
rcv   70.81      A    101   0    12101
snd   70.81      D    12101 50   101
snd   70.81      D    12101 50   101
snd   70.81      D    12101 50   101
snd   70.81      D    12101 50   101
rcv   70.81      A    101   0    12601
snd   70.81      D    12101 50   101
rcv   70.81      A    101   0    12601
rcv   70.81      A    101   0    12601
snd   70.81      D    12101 50   101
rcv   70.81      A    101   0    12601
snd   70.81      D    12101 50   101
rcv   70.81      A    101   0    12601
snd   70.81      D    12101 50   101
drop  70.81      D    12101 50   101
drop  70.81      D    12601 50   101
rcv   70.81      A    101   0    12601
snd   70.81      D    12651 50   101
snd   70.81      D    12701 50   101
rcv   70.81      A    101   0    12601
rcv   70.81      A    101   0    12601
rcv   70.81      A    101   0    12601
rcv   70.81      A    101   0    12601
snd   70.81      D    12601 50   101
drop  70.81      D    12601 50   101
snd   70.81      D    12601 50   101
snd   71.807     D    12751 50   101
rcv   71.807     A    101   0    12751
snd   71.807     D    12801 50   101
rcv   71.807     A    101   0    12751
rcv   71.807     A    101   0    12801
snd   71.807     D    12851 50   101
snd   71.807     D    12901 50   101
rcv   71.807     A    101   0    12851
snd   71.807     D    12951 50   101
rcv   71.807     A    101   0    12901
snd   71.807     D    13001 50   101
snd   71.807     D    13051 50   101
rcv   71.807     A    101   0    12951
snd   71.807     D    13101 50   101
rcv   72.805     A    101   0    13001
snd   72.805     D    13151 50   101
snd   72.805     D    13201 50   101
rcv   72.805     A    101   0    13051
snd   72.805     D    13251 50   101
drop  72.805     D    13301 50   101
rcv   72.805     A    101   0    13101
snd   72.805     D    13351 50   101
snd   72.805     D    13401 50   101
rcv   72.805     A    101   0    13151
snd   72.805     D    13451 50   101
snd   72.805     D    13501 50   101
rcv   72.805     A    101   0    13201
snd   73.802     D    13551 50   101
snd   73.802     D    13601 50   101
rcv   73.802     A    101   0    13251
snd   73.802     D    13651 50   101
rcv   73.802     A    101   0    13301
drop  73.802     D    13701 50   101
rcv   73.802     A    101   0    13301
rcv   73.802     A    101   0    13301
rcv   73.802     A    101   0    13301
rcv   73.802     A    101   0    13301
rcv   73.802     A    101   0    13301
rcv   73.802     A    101   0    13301
rcv   73.802     A    101   0    13301
rcv   73.802     A    101   0    13301
snd   73.802     D    13751 50   101
snd   73.802     D    13301 50   101
snd   73.802     D    13301 50   101
snd   73.802     D    13301 50   101
snd   73.802     D    13301 50   101
rcv   73.802     A    101   0    13701
snd   73.802     D    13301 50   101
snd   74.8       D    13301 50   101
rcv   74.8       A    101   0    13701
rcv   74.8       A    101   0    13701
rcv   74.8       A    101   0    13701
rcv   74.8       A    101   0    13701
rcv   74.8       A    101   0    13701
snd   74.8       D    13301 50   101
snd   74.8       D    13701 50   101
snd   74.8       D    13701 50   101
snd   74.8       D    13701 50   101
snd   74.8       D    13701 50   101
snd   74.8       D    13801 50   101
snd   74.8       D    13851 50   101
snd   74.8       D    13901 50   101
snd   74.8       D    13951 50   101
snd   74.8       D    14001 50   101
drop  74.8       D    14051 50   101
snd   74.8       D    14101 50   101
snd   74.8       D    14151 50   101
rcv   74.8       A    101   0    13701
rcv   74.8       A    101   0    13801
snd   74.8       D    13701 50   101
snd   74.8       D    14201 50   101
rcv   74.8       A    101   0    13801
rcv   74.8       A    101   0    13801
rcv   74.8       A    101   0    13801
rcv   74.8       A    101   0    13851
snd   74.8       D    14251 50   101
rcv   75.797     A    101   0    13901
snd   75.797     D    13801 50   101
rcv   75.797     A    101   0    13951
snd   75.797     D    13801 50   101
snd   75.797     D    14301 50   101
rcv   75.797     A    101   0    14001
rcv   75.797     A    101   0    14051
rcv   75.797     A    101   0    14051
snd   75.797     D    14351 50   101
rcv   75.797     A    101   0    14051
rcv   75.797     A    101   0    14051
rcv   75.797     A    101   0    14051
rcv   75.797     A    101   0    14051
rcv   75.797     A    101   0    14051
rcv   75.797     A    101   0    14051
rcv   75.797     A    101   0    14051
rcv   75.797     A    101   0    14051
drop  75.797     D    14051 50   101
snd   75.797     D    14051 50   101
snd   76.794     D    14051 50   101
drop  76.794     D    14051 50   101
snd   76.794     D    14051 50   101
snd   76.794     D    14051 50   101
rcv   76.794     A    101   0    14401
snd   76.794     D    14051 50   101
rcv   76.794     A    101   0    14401
snd   76.794     D    14051 50   101
rcv   76.794     A    101   0    14401
rcv   76.794     A    101   0    14401
snd   76.794     D    14401 50   101
snd   76.794     D    14451 50   101
snd   76.794     D    14501 50   101
snd   76.794     D    14551 50   101
snd   76.794     D    14601 50   101
snd   76.794     D    14651 50   101
snd   76.794     D    14701 50   101
snd   76.794     D    14751 50   101
snd   76.794     D    14801 50   101
snd   76.794     D    14851 50   101
rcv   83.776     A    101   0    14401
rcv   83.776     A    101   0    14401
